ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,TotalSpent,TotalPurchases,TotalChildren,TotalCampaignsAccepted,CustomerTenureDays,CLV,IncomeGroup,AgeGroup,CustomerSegment,CustomerSegmentLabel
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,68,1617,22,0,0,4784,123.45511078595318,Mid,60+,1,At Risk
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,71,27,4,2,0,4234,2.329180444024563,Lower-Mid,60+,2,Potential
4141,1965,Graduation,Married,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,60,776,20,0,0,4433,63.93728851793368,Mid,50-60,3,Lost
6182,1984,Graduation,Married,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,41,53,6,1,0,4260,4.54419014084507,Low,40-50,2,Potential
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,44,422,14,1,0,4282,35.996146660439045,Mid,40-50,0,Champions
7446,1967,Master,Married,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,58,716,20,1,0,4414,59.247621205256,Mid,50-60,3,Lost
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,54,590,17,1,0,4714,45.714361476453114,Mid,50-60,3,Lost
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,40,169,8,1,0,4538,13.602302776553548,Lower-Mid,30-40,2,Potential
4855,1974,PhD,Married,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,51,46,5,1,0,4509,3.7262142381902863,Lower-Mid,50-60,2,Potential
5899,1950,PhD,Married,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,75,49,1,2,1,4229,4.232028848427524,Low,60+,0,Champions
1994,1983,Graduation,Married,51381.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,42,19,3,1,0,4347,1.5964458247066944,Mid,40-50,2,Potential
387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,49,61,5,0,0,4714,4.726400084853627,Low,40-50,0,Champions
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,66,1102,15,0,0,4347,92.59385783298828,Mid,60+,1,At Risk
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,73,310,12,2,0,4347,26.04727398205659,Mid,60+,0,Champions
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,38,46,4,0,0,4748,3.538647851727043,Low,30-40,2,Potential
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,79,1315,25,0,2,4703,102.1270997235807,Upper-Mid,60+,3,Lost
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,45,96,6,2,0,4673,7.503530922319709,Lower-Mid,40-50,0,Champions
4939,1946,Graduation,Married,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,79,317,11,0,0,4788,24.18217418546366,Lower-Mid,60+,2,Potential
6565,1949,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,76,1782,24,1,1,4579,142.14359030355973,Upper-Mid,60+,1,At Risk
2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,40,133,6,1,0,4724,10.283287468247249,Lower-Mid,30-40,0,Champions
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,43,316,11,0,0,4811,23.990646435252547,Lower-Mid,40-50,2,Potential
5376,1979,Graduation,Married,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,46,1730,28,1,0,4660,135.59710300429185,Low,40-50,3,Lost
1993,1949,PhD,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,76,972,14,1,1,4674,75.95699614890886,Mid,60+,1,At Risk
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,71,544,17,1,0,4290,46.31608391608391,Mid,60+,3,Lost
1409,1951,Graduation,Married,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,74,444,13,1,0,4589,35.33907169317934,Lower-Mid,60+,0,Champions
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,56,75,6,0,0,4664,5.873445540308747,Low,50-60,0,Champions
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,49,257,10,2,0,4519,20.77212878955521,Mid,40-50,2,Potential
5255,1986,Graduation,Single,51381.5,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,39,637,27,1,0,4615,50.41478873239437,Mid,30-40,3,Lost
9422,1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,36,131,7,1,0,4515,10.59750830564784,Lower-Mid,30-40,2,Potential
1966,1965,PhD,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,60,1672,25,0,1,4340,140.71382488479261,Upper-Mid,50-60,1,At Risk
6864,1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,36,30,6,0,0,4159,2.6346477518634286,Low,30-40,2,Potential
3033,1963,Master,Married,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,62,318,10,0,0,4535,25.611797133406835,Lower-Mid,60+,0,Champions
5710,1970,Graduation,Married,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,55,120,7,1,1,4748,9.231255265374894,Lower-Mid,50-60,2,Potential
7373,1952,PhD,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,73,302,11,2,0,4729,23.32533305138507,Lower-Mid,60+,2,Potential
8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,79,1196,17,0,0,4615,94.65633802816902,Mid,60+,3,Lost
10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,74,65,5,2,0,4425,5.365254237288135,Lower-Mid,60+,0,Champions
4339,1970,PhD,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,55,913,23,1,0,4301,77.5338874680307,Mid,50-60,3,Lost
10755,1976,2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,49,81,6,1,0,4421,6.691981452160144,Low,40-50,0,Champions
8595,1973,Graduation,Widowed,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,52,67,5,1,0,4259,5.745891054238084,Lower-Mid,50-60,0,Champions
2968,1943,PhD,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,82,902,22,0,1,4634,71.09527406128615,Lower-Mid,60+,1,At Risk
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,45,1395,19,1,0,4547,112.05712557730372,Upper-Mid,40-50,3,Lost
503,1985,Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,40,53,5,1,0,4595,4.212894450489663,Low,30-40,0,Champions
